,Ma-Cycling,Ma-Endo,Ma-Fibro,Ma-Fn1,Ma-MD-Cxcl3,Ma-MD-Isg15,Ma-MD-Mpeg1,Ma-MD-Prdx1,Ma-TR-Cd83+,Ma-TR-Cd83-,Ma-TR-Cd163,Ma-lowGC,Ma-MD-Ccl2
1,smc4,cd81a,tnnt2b,rps28,ms4a17a.4,ms4a17a.4,rpl5a,si:dkey-26g8.5,ms4a17a.4,ms4a17a.4,ms4a17a.4,ms4a17a.4,ms4a17a.4
2,lig1,cd151l,tnnt2a,gpx9,si:dkey-26g8.5,ms4a17a.4,zc3h11a,ctslb,si:ch73-56d11.5,si:ch73-56d11.5,f13a1b,si:ch73-56d11.5,si:dkey-26g8.5
3,dtymk,cd248b,cd81a,nupr1b,ctslb,ms4a17a.4,ptbp3,ms4a17a.4,ccr11.1,ccr11.1,ms4a17a.4,cd81a,ctslb
4,cdk1,ebf3a,si:zfos-2330d3.7,thbs1b,si:ch73-56d11.5,si:ch73-56d11.5,rpl5b,ms4a17a.4,cd81a,cd81a,si:ch73-56d11.5,pcsk5a,dok2
5,hnrnpa0l,ebf1b,si:ch1073-110a20.1,txn,plin2,psme2,gnai2b,sh3bgrl3,c1qa,txnipb,cd81a,c1qa,si:ch73-56d11.5
6,npm1a,si:zfos-1837d3.1,si:ch1073-110a20.3,rpl36,ybx1,si:ch73-56d11.5,cd248b,si:ch73-56d11.5,ubb,c1qa,si:ch73-56d11.5,si:dkey-7j14.6,plin2
7,snrpd1,col4a2,si:zfos-1837d3.1,cd44a,thbs1b,si:ch73-56d11.5,abca1a,si:ch73-56d11.5,rpl36,RAMP1,NINJ1,c1qc,ybx1
8,c1qc,serpinh1a,rbp1.1,s100t,asgrl1,psmb8a,mpeg1.3,plin2,c1qc,rpl23a,c1qa,prmt9,si:dkey-7j14.6
9,tpx2,aplp2,col4a2,pgam1b,si:dkey-7j14.6,ifit12,gnsa,anxa5b,cdkn1a,c1qc,gas6,dcxr,cfl1
10,ybx1,ramp2,mgp,si:dkey-14d8.20,mt2,si:dkey-7j14.6,cyfip1,si:dkey-7j14.6,rpl18a,rpl18a,si:dkey-7j14.6,ttyh2,dynll1
11,tacc3,tm4sf18,serpinh1a,s100t,cdkn1a,ifit12,tln1,atp6v0e1,si:dkey-7j14.6,si:ch211-232i5.3,c1qc,ctsd,s100t
12,birc5a,icn,tm4sf18,s100v2,ms4a17a.3,ifi35,coro1b,ybx1,NPC2,rpl21,NPC2,polh,mrpl52
13,ywhah,cxcl12b,lamb1a,s100v1,ms4a17c.2,cmpk2,uba52,mt2,rps15,si:dkey-7j14.6,si:dkey-7j14.6,ms4a17a.3,ctsd
14,smc2,sptbn1,lamb1b,ctsd,si:dkey-238j22.1,psmb10,actr2a,NPC2,UBB,asgrl1,itm2bb,ms4a17c.2,rps18
15,ezh2,adgrl4,pcolcea,s100t,ms4a17c.1,ifit12,mpeg1.1,si:dkey-7j14.6,itm2bb,zgc:163030,cd63,si:dkey-238j22.1,ecm1a
16,nucks1b,laptm4a,MFAP4,gapdh,pgam1b,si:dkey-7j14.6,uba7,mpeg1.3,npc2,si:ch211-193e13.5,wwp1,ms4a17c.1,gapdh
17,si:dkey-6i22.5,jam2b,si:ch1073-110a20.2,ecm1a,s100t,ifit12,lipf,cd63,rpl13a,rpl6,mafa,rpgrip1,s100t
18,csrp1a,cd36,col1a1b,si:ch211-69b7.6,cd44a,si:dkey-7j14.6,nfic,capns1a,fosb,rps11,ms4a17a.3,cd63,capga
19,ccnb2,tspan7b,cnn3a,atp1b3b,s100t,psmb9a,grn2,edf1,ms4a17a.3,rpl13a,ms4a17c.2,lars2,capgb
20,sptssa,rasip1,cd63,ccl35.1,capga,NPC2,grn1,ctsd,ms4a17c.2,ms4a17a.3,si:dkey-238j22.1,syn2a,s100t
21,serbp1a,tcf15,postnb,rps26,capgb,xaf1,si:dkeyp-121d4.3,lipf,si:dkey-238j22.1,ms4a17c.2,ms4a17c.1,lgmn,pgam1b
22,snrpe,icn2,dpt,tbxas1,gapdh,ms4a17a.3,ppp1r9ba,ms4a17a.3,ms4a17c.1,si:dkey-238j22.1,npc2,bhlhe41,ms4a17a.3
23,ccnb1,plpp3,sptbn1,ldha,ecm1a,ms4a17c.2,DAB2,ms4a17c.2,hexb,ms4a17c.1,rnasel2,pam,ms4a17c.2
24,top2a,crip2l,mfap5,ccl35.1,ifrd1,si:dkey-238j22.1,dab2,si:dkey-238j22.1,rps11,hexb,ms4a17a.3,wdr92,si:dkey-238j22.1
25,hnrnpa0b,si:ch211-51e8.2,icn,fn1a,s100t,ms4a17c.1,ctsa,ms4a17c.1,ifrd1,irf8,ms4a17c.2,rac3b,ms4a17c.1
26,hnrnpa0a,id1,hspb1,fn1b,dynll1,stat1a,eif4g2b,ms4a17a.3,sdc4,itm2bb,si:dkey-238j22.1,fhl3a,ecm1b
27,ppifa,tspan13b,htra3a,appb,tgm2b,stat1b,cmip,ms4a17c.2,zgc:163030,rps18,ms4a17c.1,atp6v0cb,zgc:174153
28,nucks1a,col4a1,nedd4a,ecm1b,si:cabz01007816.2,ms4a17a.3,wdr92,si:dkey-238j22.1,rps23,cst3,dcxr,grn2,si:dkey-239j18.2
29,anp32e,esamb,dcn,cybb,tpi1a,ms4a17c.2,lrp1ab,ms4a17c.1,eef1a1a,tgfbr1a,zgc:163030,grn1,si:dkey-269i1.4
30,anapc11,gngt1,col1a2,add3a,id2b,si:dkey-238j22.1,si:ch211-259g3.4,pgam1b,gadd45bb,si:cabz01007816.2,lgmn,ms4a17a.6,ctsla
31,LSM2,serpinh1b,slc25a4,srgn,btg1,ms4a17c.1,p4hb,npc2,ccl35.1,pltp,DAB2,si:dkey-174k12.3,zgc:174154
32,zgc:153293,myct1b,pcolceb,ccl35.1,rplp0,npc2,mpeg1.2,mpeg1.1,rpl17,rpl29,dab2,ms4a17a.7,si:dkey-239j18.3
33,mcm6,epas1a,fstl1a,rps8a,si:cabz01007816.2,si:dkey-14d8.20,cd248a,atp6v0b,hspa8b,lgmn,zgc:172271,ms4a17a.5,fn1a
34,hmgb1b,ushbp1,pam,TXN,ccl35.1,si:ch211-219a4.3,cybb,fabp11a,rpl39,si:cabz01007816.2,clta,si:dkey-261j15.2,fn1b
35,nudc,si:dkey-237i9.8,serpinh1b,rap1b,srgn,tapbp.2,dhrs3b,capga,cst3,zgc:172271,si:ch211-222f23.6,hpxa,baxa
36,tubb4b,arhgap31,calua,eno1a,rpl8,tap1,dhrs3a,capgb,nfkbiz,eef1a1a,cst3,mmp13b,ccl35.1
37,lsm5,cd248a,zmp:0000001323,aclyb,zgc:174153,itm2bb,mcl1a,prdx1,lgmn,snx5,pltp,mmp25a,rps17
38,rrm2,flt1,mfap4,aclya,si:dkey-239j18.2,trafd1,ptp4a2a,snx5,rgs1,hpgd,dhrs3b,ms4a17a.12,pkma
39,hmgb2a,cdh13,gngt1,EMP3,si:dkey-269i1.4,ms4a17a.3,ptp4a2b,uqcrb,ms4a17a.6,si:ch211-170d8.8,dhrs3a,ms4a17a.10,rpl8
40,ppiaa,hspb1,tpma,emp3b,ctsla,ms4a17c.2,si:ch211-69b7.6,tmem256,si:dkey-174k12.3,si:cabz01007816.2,hpgd,tmem176l.3a,si:cabz01007816.2
41,mcm5,id3,postna,s100s,zgc:174154,si:dkey-238j22.1,appb,ms4a17a.6,ms4a17a.7,ms4a17a.6,ccl35.1,si:dkey-77f5.10,uqcc2
42,asf1bb,cxcl12a,col4a1,si:ch73-237c6.1,si:dkey-239j18.3,ms4a17c.1,itgb2,si:dkey-174k12.3,ms4a17a.5,si:dkey-174k12.3,snx5,zgc:113425,tpi1a
43,tmpob,fermt2,gpx1b,cfp,ecm1b,ms4a17a.6,ucp2,ms4a17a.7,zgc:172271,ms4a17a.7,ms4a17a.6,cavin2a,rps8a
44,tmpoa,crip2,lamc2,anxa3b,slc16a3,si:dkey-174k12.3,tpp1,ms4a17a.5,rpl26,ms4a17a.5,si:dkey-174k12.3,cavin2b,myl12.2
45,selenoh,ablim1b,rbp1.2,anxa3a,pkma,ms4a17a.7,wdr26b,syngr1a,rps19,rpl26,ms4a17a.7,gpnmb,eef1g
46,rpsa,ablim1a,col5a1,rps19,fn1a,ms4a17a.5,itgb1a,mpeg1.2,gadd45ba,mef2cb,ms4a17a.5,cd74a,ccl35.1
47,rpl12,cald1b,crip2l,s100a10a,fn1b,phf11,gnai2a,txndc17,si:cabz01074946.1,pou2f2a,ntpcr,serping1,prdx1
48,rpl10a,sparc,icn2,s100s,ccl35.1,hmox2a,appa,dhrs3b,eef2l2,cybb,ms4a17a.6,lgals3b,ms4a17a.6
49,hmgn2,si:dkey-31e10.5,hspg2,ptgs1,ldha,si:dkeyp-82a1.6,sgpl1,dhrs3a,eef1a1l2,tmem119b,si:dkey-174k12.3,si:dkey-95h12.2,si:dkey-174k12.3
50,zgc:65894,si:dkey-31e10.1,lhfpl6,sem1,tgfbi,tapbp.1,si:zfos-1069f5.1,pld3,rpl13,inppl1b,ms4a17a.7,fhl3b,ms4a17a.7
51,TUBB4B,podxl,fbln2,atp1b3a,hif1aa,rsad2,csf1ra,anxa4,hspa8,si:dkey-26c10.5,ms4a17a.5,selenow1,ms4a17a.5
52,sae1,nrp1a,sdc2,si:ch73-127m5.1,adam8b,grn2,abca1b,gusb,rpl30,rpl13,lyve1b,atp6v0ca,uqcrb
53,ube2s,kitlga,fstl1b,mif,prelid1a,grn1,tpt1,rgs1,rpl10a,eef1a1l2,grn2,apoeb,prelid1a
54,hnrnpa1b,kitlgb,aspn,emilin2a,hspa8b,samhd1,slc6a6a,lgmn,apoeb,si:cabz01074946.1,grn1,igf1,txndc17
55,tk1,si:dkey-261h17.1,BX663503.3,emilin2b,plek,daxx,csde1,ppifa,ctsh,rps19,bin1b,slc2a12,rps26
56,dek,jam2a,col1a1a,rps8b,prdx1,ccl35.1,myo5aa,cotl1,rpl34,cyth4b,blvrb,stab1,ccl35.1
57,smx5,myct1a,ptn,f10,eef1a1a,ifit8,ywhabb,clta,itm2ba,cyth4a,glula,pfas,ldha
58,arl6ip1,nmnat1-rbp7a,apoeb,rplp2l,ccl35.1,ifit10,nrp1a,zgc:174153,junba,apoeb,glulb,psap,lgmn
59,tubb5,rbp7a,nmnat1-rbp7a,dbi,myl12.2,ifit11,grk4,si:dkey-239j18.2,junbb,ctsh,gpr34b,ms4a17a.17,DAB2
60,rrm1,BX663503.3,rbp7a,arg1,ms4a17a.6,pnp5a,sod1,si:dkey-269i1.4,si:zfos-1069f5.1,asgrl2,hexa,ms4a17a.1,dab2
61,cks1b,ehd2b,col6a2,appa,si:dkey-174k12.3,ifit8,si:cabz01074946.1,ctsla,csf1ra,si:ch211-283g2.2,timp2a,ms4a17a.8,snrpf
62,dnajc9,ehd2a,cnn3b,gda,ms4a17a.7,ifit10,mcl1b,zgc:174154,rps4x,si:ch211-283g2.3,mef2cb,ms4a17a.9,ppifa
63,prdx4,tie1,mmp2,tpt1,ms4a17a.5,ifit11,mrc1b,si:dkey-239j18.3,ccr2,asgrl2,bin1a,ms4a17a.2,clta
64,tyms,kdr,si:dkey-261h17.1,add3b,asgrl2,phf11,psap,hexa,rpl3,si:ch211-283g2.2,gltpa,ms4a17a.11,cotl1
65,atp5f1b,epas1b,col6a3,rplp1,si:ch211-283g2.2,ccl35.1,atp6v1aa,baxa,rplp1,si:ch211-283g2.3,camk1b,ms4a17a.16,pfn1
66,stmn1b,hspg2,sparcl1,itgb2,si:ch211-283g2.3,ms4a17a.6,atp6v1ab,timp2a,rpl37,jun,camk1a,mmp25b,tgfbi
67,stmn1a,rgcc,tubb5,rpl37,aprt,si:dkey-174k12.3,canx,ms4a17a.6,cd74a,rpl3,unc93b1,mmp30,lgals3b
68,si:ch211-69g19.2,rbp7b,col16a1,pgam1a,mif,ms4a17a.7,actr2b,si:dkey-174k12.3,rps5,cd74a,ms4a17a.12,mmp23bb,si:dkey-95h12.2
69,mrpl18,cav2,ndnl2,cyba,tgm2a,ms4a17a.5,ppp1r9bb,ms4a17a.7,si:dkey-159f12.2,rps5,ms4a17a.10,ctss2.1,pkmb
70,rpl3,zbtb20,col5a2a,rpl35,tomm20b,ifit8,cltca,ms4a17a.5,rps13,rpl10,tmem176l.3a,ctss2.2,ran
71,rps5,cldn5a,tuba1a,ccl35.2,f10,ifit10,cltcb,ctsa,ckbb,rplp1,si:dkey-77f5.10,rac3a,zgc:174855
72,rplp1,cldn5b,ndnl2,BOLA2,id2a,ifit11,stab1,grn2,ckba,ccr2,zgc:113425,cd74b,ctsll
73,tuba1c,mmrn2a,nid1a,si:dkey-204f11.3,arpc2,ms4a17a.6,lrp1aa,grn1,rplp2l,rps4x,lyve1a,vgll3,arg1
74,anp32b,itga6b,nid1b,si:ch211-51a6.2,asgrl2,si:dkey-174k12.3,rpl12,anxa5a,rpl7,fyba,mafb,angpt4,calr
75,lgals3b,itga6a,csrp2,LO018128.1,si:ch211-283g2.2,ms4a17a.7,qkib,tpi1a,rpl14,fybb,nrp1a,PLXNA1,arpc1b
76,si:dkey-95h12.2,CU469503.1,ognb,rps26l,si:ch211-283g2.3,ms4a17a.5,rps12,fabp11b,unc93b1,mef2ca,ehd4,plxna1a,anxa2b
77,hnrnpaba,itga6l,ogna,CR318624.2,tpi1b,lgmn,mafba,nmnat1-rbp7a,ms4a17a.12,itm2ba,rplp1,apoea,anxa2a
78,spc24,bcam,serpinf1,mt-co1,zgc:174855,ifit8,mrc1a,rbp7a,ms4a17a.10,txnipa,f13a1a.1,scara3,tuba1c
79,ran,mgll,tpm2,mt-co2,ctsll,ifit10,mbnl1,spcs1,tmem176l.3a,si:zfos-1069f5.1,si:zfos-1069f5.1,ttyh2l,aprt
80,rbb4l,sparcl1,bgnb,pgk1,arg1,ifit11,rtn4a,atp6v1g1,si:dkey-77f5.10,csf1ra,csf1ra,ctsba,mif
81,nusap1,cav1,bgna,cd44b,s100a11,irf7,ctsba,slc48a1b,zgc:113425,ms4a17a.12,lgals3b,pcsk5b,asgrl2
82,nap1l4a,cd151,col6a1,rps29,tpt1,phf11,si:ch73-267c23.10,slc48a1a,rps24,ms4a17a.10,si:dkey-95h12.2,,si:ch211-283g2.2
83,tspy,igfbp7,gpx1a,mt-co3,lgals3b,ifit16,SERINC3,lgals3a,rps14,tmem176l.3a,itm2ba,,si:ch211-283g2.3
84,arhgdia,esama,gpx3,CABZ01080702.1,si:dkey-95h12.2,ifit15,CABZ01018956.1,ppiaa,rps3,si:dkey-77f5.10,mef2ca,,rps8b
85,zgc:153426,tspan13a,cygb1,prdx5,pkmb,ifit14,lamp1b,vim,rps29,zgc:113425,pmp22b,,tpi1b
86,racgap1,aqp1a.1,sparc,ccl35.2,slc3a2a,mhc1lia,lamp1a,apoeb,mt-co1,unc93b1,apoeb,,snrpd3l
87,cdk4,aqp1a.2,cald1b,mt-cyb,zgc:158423,isg20l2,eif4g2a,ndufb8,mt-co2,rps24,si:ch211-214p13.3,,rpl14
88,serbp1b,s1pr1,lum,smpdl3a,arpc1b,isg20,nptna,akr1a1b,mt-co3,ckbb,zgc:113337,,rps19
89,CABZ01074745.1,snrka,crip2,mt-nd1,anxa2b,tor3a,csf1rb,abhd12,apoea,ckba,si:ch211-141e20.2,,ms4a17a.12
90,dut,CU138547.1,id3,RPL37A,anxa2a,mhc1lia,CABZ01058721.1,fth1b,mt-cyb,mhc1lia,akr1a1b,,ms4a17a.10
91,ppiab,CABZ01067151.1,serping1,thbs1a,emp1,itm2ba,itgb1b,fth1a,ccl35.2,ppfia4,cltca,,tmem176l.3a
92,gmnn,ptprb,mfge8a,rab5if,eno1a,zgc:112962,itgb1b.2,atp6v1aa,rpl35,asgrl2,cltcb,,si:dkey-77f5.10
93,CKS2,CU927890.1,mfge8b,ccl35.2,rap1b,hmox2b,itgb1b.1,atp6v1ab,LO018432.1,si:ch211-283g2.2,igf1,,zgc:113425
94,asf1ba,pecam1,lgals3b,si:dkey-204f11.3,sec61g,ifih1,wdr26a,cst14a.2,ly86,si:ch211-283g2.3,stab1,,cst14a.2
95,banf1,CABZ01024501.1,si:dkey-95h12.2,mt-atp6,lgals3a,ms4a17a.12,lcp1,cst14a.1,ctss2.1,ehd4,mrc1b,,cst14a.1
96,ube2c,mmrn2b,loxl1,rpl35a,rpl34,ms4a17a.10,NCKAP1L,rps19,ctss2.2,si:dkey-159f12.2,rab3il1,,aldoaa
97,CABZ01081909.1,gnas,gsna,cebpb,s100s,tmem176l.3a,iqgap1,ms4a17a.12,atf3,cd74b,ms4a17a.12,,aldoab
98,hnrnpabb,c1qtnf9,gsnb,idh1,hif1ab,si:dkey-77f5.10,ywhaba,ms4a17a.10,mt-atp6,mt-nd1,ms4a17a.10,,rpl13
99,cdca8,egfl7,cryabb,mt-nd4,vim,zgc:113425,mfsd1,tmem176l.3a,rpl11,pea15,tmem176l.3a,,rab5c
100,anapc5,TCF4,igfbp7,padi2,eef1a1l2,cd247l,C3AR1,si:dkey-77f5.10,ms4a17a.17,ctsc,si:dkey-77f5.10,,prelid1b
101,mki67,rbp5,tpm1,,cst14a.2,chmp4bb,larp1,zgc:113425,ms4a17a.1,pid1,zgc:113425,,s100a10a
102,cbx3a,si:ch211-286o17.1,AXL,,cst14a.1,ifit16,slc6a6b,pebp1,ms4a17a.8,csf1rb,abhd12,,s100s
103,hmgb1a,ctnnb2,cryaba,,slc25a5,ifit15,dazap2,vat1,ms4a17a.9,AXL,rnasel3,,eno1a
104,pclaf,,cygb2,,fth1b,ifit14,,si:cabz01074946.1,ms4a17a.2,si:ch211-188c16.1,mt-cyb,,EMP3
105,ccna2,,smoc2,,fth1a,lgals9l6,,aldoaa,ms4a17a.11,ms4a17a.17,apoea,,emp3b
106,nap1l1,,ppic,,rps19,lgals9l5,,aldoab,ms4a17a.16,ms4a17a.1,lamp1b,,ppiaa
107,csrp1b,,gpx8,,ms4a17a.12,lgals9l4,,psap,rpl35a,ms4a17a.8,lamp1a,,vim
108,,,fbln1,,ms4a17a.10,lgals9l1,,psmb6,mt-nd4,ms4a17a.9,zgc:172122,,lgals3a
109,,,serpine2,,tmem176l.3a,lgals9l3,,gpnmb,rps15a,ms4a17a.2,sc:d189,,sec61g
110,,,HTRA3,,si:dkey-77f5.10,ifit16,,uap1l1,ctsc,ms4a17a.11,mt-co3,,s100s
111,,,ptgis,,zgc:113425,ifit15,,aprt,rpl23,ms4a17a.16,stard8,,snrpd3
112,,,LHFPL6,,adam8a,ifit14,,ap2s1,csf1rb,CR339041.3,mt-co2,,ctss2.1
113,,,si:ch211-286o17.1,,prelid1b,ms4a17a.12,,ms4a17a.12,cd74b,mt-nd4,mt-co1,,ctss2.2
114,,,KDELR3,,rgcc,ms4a17a.10,,ms4a17a.10,mt-nd1,ctss2.1,npl,,si:dkey-61f9.1
115,,,kdelr3,,s100a10a,tmem176l.3a,,tmem176l.3a,RPL37A,ctss2.2,ccl35.2,,CT030017.2
116,,,rbp5,,s100s,si:dkey-77f5.10,,si:dkey-77f5.10,,si:dkey-61f9.1,mrc1a,,BX640512.3
117,,,zgc:171687,,aldoaa,zgc:113425,,zgc:113425,,CT030017.2,ctsba,,nme2b.1
118,,,CABZ01080042.1,,aldoab,zgc:194621,,tpi1b,,BX640512.3,si:ch73-267c23.10,,nme2b.2
119,,,FO203432.1,,hspa8,epsti1,,atp6v1c1b,,mt-atp6,SERINC3,,pid1
120,,,apoea,,slc3a2b,plac8.2,,atp6v1c1a,,rpl11,zmp:0000001138,,ctsc
121,,,calub,,zgc:158343,plac8.1,,zgc:174855,,LO018432.1,ms4a17a.17,,ccl35.2
122,,,,,h3f3b.1,ms4a17a.12,,ctsll,,si:ch73-267c23.10,ms4a17a.1,,rps27l
123,,,,,ctsc,ms4a17a.10,,lgals3b,,SERINC3,ms4a17a.8,,RPS17
124,,,,,SLC16A3,tmem176l.3a,,si:dkey-95h12.2,,ly86,ms4a17a.9,,ccl35.2
125,,,,,rps15a,si:dkey-77f5.10,,calm2a,,BX682234.1,ms4a17a.2,,ppiab
126,,,,,si:dkey-61f9.1,zgc:113425,,capns1b,,zmp:0000001138,ms4a17a.11,,viml
127,,,,,CT030017.2,psap,,calr,,mt-co3,ms4a17a.16,,ctsz
128,,,,,BX640512.3,ifit16,,pgam1a,,apoea,mafba,,rps26l
129,,,,,mt-atp6,ifit15,,ms4a17a.17,,mt-cyb,tmem37,,rps2
130,,,,,nme2b.1,ifit14,,ms4a17a.1,,si:dkey-61f9.1,C3AR1,,ctsba
131,,,,,nme2b.2,psme1,,ms4a17a.8,,CT030017.2,mt-nd4,,CABZ01041494.1
132,,,,,thbs1a,si:ch73-252i11.1,,ms4a17a.9,,BX640512.3,BX571768.1,,LO018128.1
133,,,,,si:dkey-61f9.1,CABZ01085275.1,,ms4a17a.2,,si:dkey-61f9.1,ms4a17a.17,,mafba
134,,,,,CT030017.2,zmp:0000001138,,ms4a17a.11,,CT030017.2,ms4a17a.1,,pgam1a
135,,,,,BX640512.3,ms4a17a.17,,ms4a17a.16,,BX640512.3,ms4a17a.8,,ccl35.2
136,,,,,ccl35.2,ms4a17a.1,,cyba,,tgfbr1b,ms4a17a.9,,cyba
137,,,,,CABZ01041494.1,ms4a17a.8,,syngr1b,,mt-co2,ms4a17a.2,,ms4a17a.17
138,,,,,ms4a17a.17,ms4a17a.9,,ctsba,,mt-co1,ms4a17a.11,,ms4a17a.1
139,,,,,ms4a17a.1,ms4a17a.2,,creg1,,,ms4a17a.16,,ms4a17a.8
140,,,,,ms4a17a.8,ms4a17a.11,,rbp5,,,mt-nd2,,ms4a17a.9
141,,,,,ms4a17a.9,ms4a17a.16,,CABZ01088982.1,,,mt-atp6,,ms4a17a.2
142,,,,,ms4a17a.2,CR759879.1,,ctsz,,,aldh2.2,,ms4a17a.11
143,,,,,ms4a17a.11,ms4a17a.17,,ppiab,,,CABZ01032488.1,,ms4a17a.16
144,,,,,ms4a17a.16,ms4a17a.1,,lamtor1,,,aldh2.1,,
145,,,,,pgam1a,ms4a17a.8,,viml,,,mt-nd1,,
146,,,,,ccl35.2,ms4a17a.9,,cndp2,,,CABZ01118270.1,,
147,,,,,mafba,ms4a17a.2,,apoea,,,F13A1,,
148,,,,,tubb6,ms4a17a.11,,lamp1b,,,csf1rb,,
149,,,,,viml,ms4a17a.16,,lamp1a,,,folr,,
150,,,,,mt-co3,ccl35.2,,timp2b,,,timp2b,,
151,,,,,ccl35.2,CR759879.1,,rps27l,,,pmp22a,,
152,,,,,mt-co2,si:dkey-204f11.3,,calm3a,,,ctsc,,
153,,,,,pgk1,isg15,,bri3,,,,,
154,,,,,mt-co1,pnp5b,,ctss2.1,,,,,
155,,,,,cd44b,ly86,,ctss2.2,,,,,
156,,,,,,dhx58,,nme2b.1,,,,,
157,,,,,,chmp4ba,,nme2b.2,,,,,
158,,,,,,snx2,,ms4a17a.17,,,,,
159,,,,,,tegt,,ms4a17a.1,,,,,
160,,,,,,CR759879.1,,ms4a17a.8,,,,,
161,,,,,,h3f3b.1,,ms4a17a.9,,,,,
162,,,,,,ctsc,,ms4a17a.2,,,,,
163,,,,,,ms4a17a.17,,ms4a17a.11,,,,,
164,,,,,,ms4a17a.1,,ms4a17a.16,,,,,
165,,,,,,ms4a17a.8,,C3AR1,,,,,
166,,,,,,ms4a17a.9,,,,,,,
167,,,,,,ms4a17a.2,,,,,,,
168,,,,,,ms4a17a.11,,,,,,,
169,,,,,,ms4a17a.16,,,,,,,
170,,,,,,CR339041.3,,,,,,,
171,,,,,,ccl35.2,,,,,,,
172,,,,,,CR759879.1,,,,,,,
173,,,,,,rnf213a,,,,,,,
174,,,,,,CABZ01058333.1,,,,,,,
175,,,,,,ctss2.1,,,,,,,
176,,,,,,ctss2.2,,,,,,,
177,,,,,,CR339041.3,,,,,,,
